	Player,	Cost,	Sel,	Form,	PTS
	"
Salah
LIVMID"	13.1	73.3%	8.6	160
	"
Alexander-Arnold
LIVDEF"	8.1	41.3%	8.8	108
	"
Cancelo
MCIDEF"	6.8	37.1%	4.8	91
	"
Bernardo
MCIMID"	7.7	30.1%	8.2	90
	"
Gallagher
CRYMID"	6.1	25.1%	5.0	87
	"
Dennis
WATFWD"	5.8	32.7%	8.8	84
	"
van Dijk
LIVDEF"	6.7	18.7%	6.8	83
	"
Mané
LIVMID"	11.9	3.9%	4.6	82
	"
Rüdiger
CHEDEF"	6.1	22.9%	5.6	81
	"
Son
TOTMID"	10.3	16.6%	7.7	81
	"
Jota
LIVMID"	8.0	26.9%	6.8	80
	"
Mount
CHEMID"	7.6	18.9%	7.0	77
	"
Vardy
LEIFWD"	10.6	24.6%	3.4	77
	"
James
CHEDEF"	6.3	35.6%	2.6	76
	"
Bowen
WHUMID"	6.5	7.3%	3.8	74
	"
Raphinha
LEEMID"	6.6	18.2%	4.6	73
	"
Antonio
WHUFWD"	7.9	39.9%	2.4	73
	"
Alisson
LIVGKP"	6.0	8.0%	5.8	72
	"
Sá
WOLGKP"	5.1	3.6%	6.2	71
	"
Ramsdale
ARSGKP"	5.0	15.9%	4.8	70
	"
Fernandes
MUNMID"	11.6	16.3%	3.6	70
	"
Smith Rowe
ARSMID"	6.0	25.1%	2.4	69
	"
Maddison
LEIMID"	6.8	8.3%	8.8	69
	"
Mendy
CHEGKP"	6.3	19.2%	3.0	68
	"
Gabriel
ARSDEF"	5.2	4.0%	4.2	67
	"
Tielemans
LEIMID"	6.4	3.3%	3.2	67
	"
Dias
MCIDEF"	6.0	24.4%	3.6	67
	"
Ronaldo
MUNFWD"	12.5	32.8%	5.8	67
	"
Benrahma
WHUMID"	6.0	19.1%	2.0	67
	"
Gray
EVEMID"	5.6	10.6%	3.6	66
	5.1	8.5%	5.4	66	
	"
Thiago Silva
CHEDEF"	5.6	6.3%	4.8	63
	"
Lloris
TOTGKP"	5.4	8.1%	5.7	63
	"
Ederson
MCIGKP"	6.0	9.4%	3.8	62
	"
Saint-Maximin
NEWFWD"	6.8	15.4%	3.4	62
	"
Reguilón
TOTDEF"	5.3	14.1%	7.0	62
	"
Fornals
WHUMID"	6.0	2.3%	2.2	62
	"
Henderson
LIVMID"	5.1	2.8%	4.6	61
	"
Martínez
AVLGKP"	5.5	13.3%	3.2	60
	"
Trossard
BHAMID"	6.4	1.6%	2.2	60
	"
Jorginho
CHEMID"	5.8	4.5%	5.4	60
	"
Townsend
EVEMID"	5.3	6.3%	1.6	60
	"
Jesus
MCIFWD"	8.6	7.8%	2.0	60
	"
Jansson
BREDEF"	4.6	7.8%	3.2	59
	"
Saka
ARSMID"	6.2	8.8%	3.6	58
	"
Robertson
LIVDEF"	7.0	3.0%	6.4	58
	"
Pukki
NORFWD"	5.9	6.0%	4.2	58
	"
McGinn
AVLMID"	5.8	1.7%	4.8	57
	"
Zaha
CRYMID"	6.9	6.3%	1.6	56
	"
King
WATFWD"	5.8	7.8%	3.4	56
	"
Coady
WOLDEF"	4.5	6.4%	4.8	56
	"
Toney
BREFWD"	6.6	13.8%	3.4	55
	"
Maupay
BHAFWD"	6.3	3.8%	5.0	55
	"
Doucouré
EVEMID"	5.4	1.6%	2.0	55
	"
Gündogan
MCIMID"	7.3	3.9%	4.6	55
	"
Wilson
NEWFWD"	7.5	4.5%	4.6	55
	"
Tomiyasu
ARSDEF"	4.7	5.0%	4.0	54
	"
Henry
BREDEF"	4.5	2.0%	3.2	54
	"
Chilwell
CHEDEF"	5.7	4.1%	1.8	54
	"
Guaita
CRYGKP"	4.6	8.5%	2.2	54
	4.5	1.7%	4.0	54	
	"
Dier
TOTDEF"	4.5	6.3%	6.0	54
	"
Jiménez
WOLFWD"	7.6	7.1%	2.2	54
	"
White
ARSDEF"	4.4	12.4%	2.8	53
	"
Mings
AVLDEF"	4.9	7.0%	4.4	53
	"
Lowton
BURDEF"	4.4	1.7%	3.8	53
	"
Chalobah
CHEDEF"	4.7	2.5%	1.8	53
	"
Keane
EVEDEF"	4.9	2.3%	1.2	53
	"
Sterling
MCIMID"	10.6	1.6%	6.8	53
	"
McCarthy
SOUGKP"	4.5	3.3%	1.2	53
	"
Livramento
SOUDEF"	4.5	21.2%	1.0	53
	"
Sarr
WATMID"	5.8	3.7%	1.0	53
	"
Fabianski
WHUGKP"	5.0	2.3%	3.2	53
	"
Soucek
WHUMID"	5.7	4.4%	3.6	53
	"
Saïss
WOLDEF"	5.0	1.1%	4.6	53
	"
Kilman
WOLDEF"	4.5	0.5%	4.4	53
	"
Pinnock
BREDEF"	4.6	4.7%	1.8	52
	"
Canós
BREMID"	5.5	1.5%	3.6	52
	"
Mbeumo
BREMID"	5.5	3.0%	4.0	52
	"
Højbjerg
TOTMID"	5.0	4.3%	5.3	52
	"
Cresswell
WHUDEF"	5.4	9.2%	0.8	52
	"
Ødegaard
ARSMID"	5.4	2.5%	5.2	51
	"
Walker
MCIDEF"	5.5	7.4%	2.8	51
	"
Greenwood
MUNMID"	7.2	5.7%	1.0	51
	"
Rice
WHUMID"	5.1	5.7%	2.0	51
	"
Cash
AVLDEF"	5.0	3.5%	2.2	50
	"
Sánchez
BHAGKP"	4.6	18.2%	3.8	50
	"
Dunk
BHADEF"	4.9	3.4%	2.2	50
